ID,Статус,Сообщение
61123292,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
61116417,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60315485,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
61104262,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
61100913,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
61083659,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60818014,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
61064319,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
61045142,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60853699,ответил,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
61033261,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
61031134,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
61029947,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
61027819,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
61024220,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
61022025,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
61010176,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
61004847,не читал,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
61000409,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60987514,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60988737,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60987310,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60982584,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60981188,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60979846,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60977303,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60966666,не читал,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60965416,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60950909,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60963666,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60953260,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60940277,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60940243,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60939056,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60935312,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60927132,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60916965,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60893037,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60906968,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60897211,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
60896512,посмотрел,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
60878048,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60877909,посмотрел,ВЫ НАПИСАЛИ КЛИЕНТУ
60872208,посмотрел,КЛИЕНТ ВЫБРАЛ ДРУГОГО СПЕЦИАЛИСТА
