ID,Статус,Сообщение
59905664,ответил,РАБОТА С 19 СЕНТЯБРЯ
59414115,ответил,РАБОТА С 7 СЕНТЯБРЯ
59429017,ответил,РАБОТА С 23 АВГУСТА
57317209,ответил,ДОГОВОРИТЕСЬ О ДАТЕ
57417653,ответил,ДОГОВОРИТЕСЬ О ДАТЕ
57964009,ответил,РАБОТА С 6 ИЮЛЯ
56845931,ответил,РАБОТА С 15 ИЮЛЯ
57462672,ответил,РАБОТА С 15 ИЮНЯ
57023056,ответил,РАБОТА С 1 ИЮНЯ
56549236,ответил,РАБОТА С 13 МАЯ
55564950,ответил,КЛИЕНТУ ИНТЕРЕСНО ВАШЕ ПРЕДЛОЖЕНИЕ
55444480,ответил,РАБОТА С 5 АПРЕЛЯ
55414205,ответил,РАБОТА С 27 МАРТА
55374218,ответил,ВЫ НАПИСАЛИ КЛИЕНТУ
45310237,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 22 ЯНВАРЯ
43331488,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 7 НОЯБРЯ
42398859,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 2 НОЯБРЯ
42463128,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 14 ОКТЯБРЯ
41191248,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 6 СЕНТЯБРЯ
37475955,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 15 АПРЕЛЯ
37500897,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 13 АПРЕЛЯ
36972039,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 18 МАРТА
36552764,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 5 МАРТА
35316283,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 20 ЯНВАРЯ
30733355,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 14 СЕНТЯБРЯ
31805907,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 24 СЕНТЯБРЯ
26266271,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 4 МАРТА
26223122,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 29 ФЕВРАЛЯ
25887888,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 8 ФЕВРАЛЯ
25809197,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 2 ФЕВРАЛЯ
24986557,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 29 ДЕКАБРЯ
24823601,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 26 ДЕКАБРЯ
23276726,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 27 ОКТЯБРЯ
22793228,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 9 ОКТЯБРЯ
10156277,ответил,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
