ID,Статус,Сообщение
57304043,ответил,ОТЗЫВА ОТ КЛИЕНТА ПОКА НЕТ
55211854,ответил,ОТЗЫВА ОТ КЛИЕНТА ПОКА НЕТ
55573497,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ
56034547,ответил,ОТЗЫВА ОТ КЛИЕНТА ПОКА НЕТ
52986170,ответил,ОТЗЫВА ОТ КЛИЕНТА ПОКА НЕТ
48674030,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ
42586594,ответил,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
37791138,ответил,КЛИЕНТ ОСТАВИЛ ОТЗЫВ
37793670,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ 30 МАЯ
31968955,ответил,КЛИЕНТ ОТМЕНИЛ ЗАКАЗ
26877767,ответил,КЛИЕНТ ОСТАВИЛ ОТЗЫВ
30967933,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ 5 СЕНТЯБРЯ
25921121,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ 21 ФЕВРАЛЯ
25925076,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ
23166269,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ
18162089,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ
18000274,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ
13567540,ответил,ЗАНЯТИЯ ЗАВЕРШЕНЫ
13199212,ответил,КЛИЕНТ ОСТАВИЛ ОТЗЫВ
12682160,ответил,КЛИЕНТ ОСТАВИЛ ОТЗЫВ
10829657,ответил,ЗАНЯТИЯ НАЧАЛИСЬ 19 ОКТЯБРЯ
